Pacman Agent|Ghost Agent|Layout|Average Score|Scores|Win Rate|Record|Number of Iterations|Simulation Length|Depth|Number of Ghosts|Tree Reuse|Command|Average Number of Moves|Time Taken
MinimaxAgent|DirectionalGhost|layouts/gen_small/small18_spatial.lay|1190.0|1190.0|1.0|Win|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small18_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|59.0|0.19199895858764648
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium8_spatial.lay|-486.0|-486.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium8_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|15.0|0.17199969291687012
MinimaxAgent|RandomGhost|layouts/gen_medium/medium21_spatial.lay|-287.0|-287.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium21_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|26.0|0.3999974727630615
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small16_spatial.lay|397.0|397.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small16_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|92.0|0.6296505928039551
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium1_spatial.lay|-282.0|-282.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium1_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|102.0|0.758652925491333
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small7_spatial.lay|-342.0|-342.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small7_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|21.0|2.0960323810577393
MinimaxAgent|RandomGhost|layouts/gen_small/small25_spatial.lay|523.0|523.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small25_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|76.0|1.9219164848327637
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium14_spatial.lay|-266.0|-266.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium14_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|25.0|5.5587990283966064
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium13_spatial.lay|1951.0|1951.0|1.0|Win|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium13_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|248.0|2.288203716278076
ExpectimaxAgent|RandomGhost|layouts/gen_medium/medium21_spatial.lay|-252.0|-252.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium21_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|18.220677137374878
MinimaxAgent|DirectionalGhost|layouts/gen_large/large14_spatial.lay|-375.0|-375.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large14_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|14.0|23.986467838287354
MCTSAgent|RandomGhost|layouts/gen_small/small2_spatial.lay|389.5|814.0, -35.0|0.5|Win, Loss|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small2_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|55.0|27.85534143447876
ExpectimaxAgent|DirectionalGhost|layouts/gen_large/large16_spatial.lay|1662.0|1662.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large16_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|668.0|12.12500548362732
MCTSAgent|RandomGhost|layouts/gen_small/small14_spatial.lay|1312.0|1215.0, 1409.0|1.0|Win, Win|2|20|N/A|2|N/A|python pacman.py -q -n 2 --maxMoves 1500 --layout layouts/gen_small/small14_spatial.lay --pacman MCTSAgent --ghost RandomGhost --numghosts 2 --agentArgs simulation_length=20,should_reuse=True,ghost_type=RandomGhost|77.0|38.54349327087402
ExpectimaxAgent|RandomGhost|layouts/gen_large/large6_spatial.lay|-44.0|-44.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large6_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|103.0|38.69049334526062
ExpectimaxAgent|RandomGhost|layouts/gen_large/large9_spatial.lay|-142.0|-142.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large9_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|1501.0|36.44648766517639
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small28_spatial.lay|799.0|799.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small28_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|21.0|1.0752906799316406
ExpectimaxAgent|DirectionalGhost|layouts/gen_small/small12_spatial.lay|408.0|408.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small12_spatial.lay --pacman ExpectimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|21.0|0.8972983360290527
MinimaxAgent|RandomGhost|layouts/gen_small/small17_spatial.lay|419.0|419.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small17_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|131.0|0.3948967456817627
MinimaxAgent|DirectionalGhost|layouts/gen_small/small0_spatial.lay|-419.0|-419.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small0_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|8.0|5.042452812194824
ExpectimaxAgent|RandomGhost|layouts/gen_small/small8_spatial.lay|-449.0|-449.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small8_spatial.lay --pacman ExpectimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|289.0|2.262868642807007
MinimaxAgent|DirectionalGhost|layouts/gen_large/large16_spatial.lay|-254.0|-254.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_large/large16_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|33.0|0.6579537391662598
MinimaxAgent|DirectionalGhost|layouts/gen_small/small14_spatial.lay|210.0|210.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small14_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|69.0|0.5060069561004639
MinimaxAgent|DirectionalGhost|layouts/gen_small/small28_spatial.lay|128.0|128.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small28_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|11.0|0.6370069980621338
MinimaxAgent|RandomGhost|layouts/gen_small/small14_spatial.lay|-406.0|-406.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small14_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 4 --agentArgs depth=2|15.0|3.3833842277526855
MinimaxAgent|RandomGhost|layouts/gen_small/small9_spatial.lay|-267.0|-267.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_small/small9_spatial.lay --pacman MinimaxAgent --ghost RandomGhost --numghosts 2 --agentArgs depth=2|966.0|12.156300067901611
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium3_spatial.lay|-446.0|-446.0|0.0|Loss|1|N/A|2|4|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium3_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 4 --agentArgs depth=2|5.0|2.0227363109588623
MinimaxAgent|DirectionalGhost|layouts/gen_medium/medium0_spatial.lay|852.0|852.0|0.0|Loss|1|N/A|2|2|N/A|python pacman.py -q -n 1 --maxMoves 1500 --layout layouts/gen_medium/medium0_spatial.lay --pacman MinimaxAgent --ghost DirectionalGhost --numghosts 2 --agentArgs depth=2|227.0|2.201070785522461
